purchase_date,product_type
01/01/2020,Canvas Painting
01/01/2020,Framed Poster
01/01/2020,Framed Poster
01/01/2020,Framed Poster
01/01/2020,Canvas Painting
01/01/2020,Poster Print
01/01/2020,Framed Poster
01/01/2020,Framed Poster
01/01/2020,Canvas Painting
01/01/2020,Framed Poster
01/01/2020,Canvas Painting
01/01/2020,Framed Poster
01/01/2020,Canvas Painting
01/01/2020,Canvas Painting
01/01/2020,Framed Poster
01/02/2020,Framed Poster
01/02/2020,Canvas Painting
01/02/2020,Framed Poster
01/02/2020,Poster Print
01/02/2020,Poster Print
01/02/2020,Framed Poster
01/02/2020,Framed Poster
01/02/2020,Framed Poster
01/02/2020,Canvas Painting
01/02/2020,Framed Poster
01/02/2020,Framed Poster
01/02/2020,Poster Print
01/02/2020,Framed Poster
01/03/2020,Canvas Painting
01/03/2020,Framed Poster
01/03/2020,Framed Poster
01/03/2020,Framed Poster
01/03/2020,Canvas Painting
01/03/2020,Canvas Painting
01/03/2020,Framed Poster
01/03/2020,Canvas Painting
01/03/2020,Poster Print
01/03/2020,Framed Poster
01/03/2020,Poster Print
01/03/2020,Canvas Painting
01/03/2020,Framed Poster
01/03/2020,Framed Poster
01/03/2020,Canvas Painting
01/03/2020,Framed Poster
01/03/2020,Canvas Painting
01/04/2020,Canvas Painting
01/04/2020,Canvas Painting
01/04/2020,Canvas Painting
01/04/2020,Framed Poster
01/04/2020,Canvas Painting
01/04/2020,Canvas Painting
01/04/2020,Framed Poster
01/04/2020,Canvas Painting
01/04/2020,Poster Print
01/05/2020,Canvas Painting
01/05/2020,Framed Poster
01/06/2020,Framed Poster
01/06/2020,Framed Poster
01/06/2020,Poster Print
01/06/2020,Framed Poster
01/06/2020,Poster Print
01/06/2020,Framed Poster
01/06/2020,Framed Poster
01/07/2020,Framed Poster
01/07/2020,Framed Poster
01/07/2020,Framed Poster
01/07/2020,Framed Poster
01/07/2020,Framed Poster
01/07/2020,Framed Poster
01/07/2020,Poster Print
01/07/2020,Framed Poster
01/07/2020,Canvas Painting
01/08/2020,Canvas Painting
01/08/2020,Poster Print
01/08/2020,Framed Poster
01/08/2020,Framed Poster
01/08/2020,Canvas Painting
01/08/2020,Canvas Painting
01/08/2020,Canvas Painting
01/08/2020,Framed Poster
01/08/2020,Canvas Painting
01/08/2020,Framed Poster
01/08/2020,Canvas Painting
01/08/2020,Framed Poster
01/08/2020,Poster Print
01/08/2020,Framed Poster
01/08/2020,Framed Poster
01/08/2020,Framed Poster
01/09/2020,Framed Poster
01/09/2020,Framed Poster
01/09/2020,Framed Poster
01/09/2020,Framed Poster
01/09/2020,Canvas Painting
01/09/2020,Framed Poster
01/09/2020,Canvas Painting
01/09/2020,Poster Print
01/09/2020,Framed Poster
01/09/2020,Canvas Painting
01/09/2020,Framed Poster
01/09/2020,Poster Print
01/09/2020,Framed Poster
01/09/2020,Framed Poster
01/10/2020,Poster Print
01/10/2020,Framed Poster
01/10/2020,Canvas Painting
01/10/2020,Framed Poster
01/10/2020,Framed Poster
01/10/2020,Framed Poster
01/10/2020,Canvas Painting
01/11/2020,Framed Poster
01/11/2020,Framed Poster
01/11/2020,Framed Poster
01/11/2020,Framed Poster
01/11/2020,Poster Print
01/11/2020,Framed Poster
01/11/2020,Framed Poster
01/11/2020,Canvas Painting
01/11/2020,Framed Poster
01/11/2020,Canvas Painting
01/11/2020,Canvas Painting
01/11/2020,Canvas Painting
01/11/2020,Canvas Painting
01/11/2020,Poster Print
01/12/2020,Framed Poster
01/13/2020,Framed Poster
01/13/2020,Framed Poster
01/13/2020,Framed Poster
01/13/2020,Framed Poster
01/13/2020,Poster Print
01/13/2020,Framed Poster
01/13/2020,Canvas Painting
01/13/2020,Framed Poster
01/13/2020,Poster Print
01/13/2020,Framed Poster
01/13/2020,Framed Poster
01/14/2020,Framed Poster
01/14/2020,Framed Poster
01/14/2020,Framed Poster
01/14/2020,Framed Poster
01/14/2020,Canvas Painting
01/14/2020,Framed Poster
01/14/2020,Framed Poster
01/14/2020,Framed Poster
01/14/2020,Framed Poster
01/15/2020,Framed Poster
01/15/2020,Poster Print
01/15/2020,Canvas Painting
01/15/2020,Framed Poster
01/15/2020,Canvas Painting
01/15/2020,Framed Poster
01/15/2020,Framed Poster
01/15/2020,Framed Poster
01/15/2020,Framed Poster
01/15/2020,Canvas Painting
01/15/2020,Framed Poster
01/15/2020,Poster Print
01/15/2020,Poster Print
01/15/2020,Canvas Painting
01/15/2020,Canvas Painting
01/15/2020,Canvas Painting
01/15/2020,Framed Poster
01/15/2020,Canvas Painting
01/16/2020,Framed Poster
01/16/2020,Framed Poster
01/16/2020,Framed Poster
01/16/2020,Framed Poster
01/16/2020,Framed Poster
01/16/2020,Framed Poster
01/16/2020,Canvas Painting
01/16/2020,Framed Poster
01/16/2020,Canvas Painting
01/16/2020,Framed Poster
01/16/2020,Canvas Painting
01/16/2020,Framed Poster
01/16/2020,Framed Poster
01/17/2020,Framed Poster
01/17/2020,Framed Poster
01/17/2020,Framed Poster
01/17/2020,Canvas Painting
01/17/2020,Framed Poster
01/17/2020,Framed Poster
01/17/2020,Canvas Painting
01/17/2020,Framed Poster
01/17/2020,Framed Poster
01/17/2020,Framed Poster
01/17/2020,Framed Poster
01/17/2020,Framed Poster
01/17/2020,Framed Poster
01/17/2020,Framed Poster
01/17/2020,Framed Poster
01/17/2020,Poster Print
01/17/2020,Framed Poster
01/18/2020,Framed Poster
01/18/2020,Framed Poster
01/18/2020,Framed Poster
01/18/2020,Framed Poster
01/19/2020,Canvas Painting
01/19/2020,Canvas Painting
01/19/2020,Framed Poster
01/19/2020,Framed Poster
01/19/2020,Canvas Painting
01/19/2020,Canvas Painting
01/19/2020,Framed Poster
01/19/2020,Poster Print
01/20/2020,Canvas Painting
01/20/2020,Framed Poster
